,end,start,tweet_count
81,2022-12-30T15:00:00.000Z,2022-12-30T14:00:00.000Z,5791
82,2022-12-30T16:00:00.000Z,2022-12-30T15:00:00.000Z,6225
83,2022-12-30T17:00:00.000Z,2022-12-30T16:00:00.000Z,6259
84,2022-12-30T18:00:00.000Z,2022-12-30T17:00:00.000Z,6374
85,2022-12-30T19:00:00.000Z,2022-12-30T18:00:00.000Z,6157
86,2022-12-30T20:00:00.000Z,2022-12-30T19:00:00.000Z,5903
87,2022-12-30T21:00:00.000Z,2022-12-30T20:00:00.000Z,6048
88,2022-12-30T22:00:00.000Z,2022-12-30T21:00:00.000Z,5520
89,2022-12-30T23:00:00.000Z,2022-12-30T22:00:00.000Z,5187
90,2022-12-31T00:00:00.000Z,2022-12-30T23:00:00.000Z,4610
91,2022-12-31T01:00:00.000Z,2022-12-31T00:00:00.000Z,4185
92,2022-12-31T02:00:00.000Z,2022-12-31T01:00:00.000Z,3595
93,2022-12-31T03:00:00.000Z,2022-12-31T02:00:00.000Z,3244
94,2022-12-31T04:00:00.000Z,2022-12-31T03:00:00.000Z,3020
95,2022-12-31T05:00:00.000Z,2022-12-31T04:00:00.000Z,2649
96,2022-12-31T06:00:00.000Z,2022-12-31T05:00:00.000Z,2468
97,2022-12-31T07:00:00.000Z,2022-12-31T06:00:00.000Z,2458
98,2022-12-31T08:00:00.000Z,2022-12-31T07:00:00.000Z,2343
99,2022-12-31T09:00:00.000Z,2022-12-31T08:00:00.000Z,2344
100,2022-12-31T10:00:00.000Z,2022-12-31T09:00:00.000Z,2733
101,2022-12-31T11:00:00.000Z,2022-12-31T10:00:00.000Z,2607
102,2022-12-31T12:00:00.000Z,2022-12-31T11:00:00.000Z,2684
103,2022-12-31T13:00:00.000Z,2022-12-31T12:00:00.000Z,2747
104,2022-12-31T14:00:00.000Z,2022-12-31T13:00:00.000Z,3028
105,2022-12-31T15:00:00.000Z,2022-12-31T14:00:00.000Z,3269
106,2022-12-31T16:00:00.000Z,2022-12-31T15:00:00.000Z,1462
107,2022-12-31T17:00:00.000Z,2022-12-31T16:00:00.000Z,2363
108,2022-12-31T18:00:00.000Z,2022-12-31T17:00:00.000Z,3767
109,2022-12-31T19:00:00.000Z,2022-12-31T18:00:00.000Z,3680
110,2022-12-31T20:00:00.000Z,2022-12-31T19:00:00.000Z,3664
111,2022-12-31T21:00:00.000Z,2022-12-31T20:00:00.000Z,3592
112,2022-12-31T22:00:00.000Z,2022-12-31T21:00:00.000Z,3511
113,2022-12-31T23:00:00.000Z,2022-12-31T22:00:00.000Z,3182
114,2023-01-01T00:00:00.000Z,2022-12-31T23:00:00.000Z,3088
115,2023-01-01T01:00:00.000Z,2023-01-01T00:00:00.000Z,3303
116,2023-01-01T02:00:00.000Z,2023-01-01T01:00:00.000Z,2881
117,2023-01-01T03:00:00.000Z,2023-01-01T02:00:00.000Z,2519
118,2023-01-01T04:00:00.000Z,2023-01-01T03:00:00.000Z,2226
119,2023-01-01T05:00:00.000Z,2023-01-01T04:00:00.000Z,2164
120,2023-01-01T06:00:00.000Z,2023-01-01T05:00:00.000Z,2135
121,2023-01-01T07:00:00.000Z,2023-01-01T06:00:00.000Z,1900
122,2023-01-01T08:00:00.000Z,2023-01-01T07:00:00.000Z,1924
123,2023-01-01T09:00:00.000Z,2023-01-01T08:00:00.000Z,2138
124,2023-01-01T10:00:00.000Z,2023-01-01T09:00:00.000Z,2152
125,2023-01-01T11:00:00.000Z,2023-01-01T10:00:00.000Z,3888
126,2023-01-01T12:00:00.000Z,2023-01-01T11:00:00.000Z,3141
127,2023-01-01T13:00:00.000Z,2023-01-01T12:00:00.000Z,3323
128,2023-01-01T14:00:00.000Z,2023-01-01T13:00:00.000Z,3308
129,2023-01-01T15:00:00.000Z,2023-01-01T14:00:00.000Z,3513
130,2023-01-01T16:00:00.000Z,2023-01-01T15:00:00.000Z,3597
131,2023-01-01T17:00:00.000Z,2023-01-01T16:00:00.000Z,3719
132,2023-01-01T18:00:00.000Z,2023-01-01T17:00:00.000Z,3879
133,2023-01-01T19:00:00.000Z,2023-01-01T18:00:00.000Z,3904
134,2023-01-01T20:00:00.000Z,2023-01-01T19:00:00.000Z,3888
135,2023-01-01T21:00:00.000Z,2023-01-01T20:00:00.000Z,4393
136,2023-01-01T22:00:00.000Z,2023-01-01T21:00:00.000Z,4526
137,2023-01-01T23:00:00.000Z,2023-01-01T22:00:00.000Z,4103
138,2023-01-02T00:00:00.000Z,2023-01-01T23:00:00.000Z,4037
139,2023-01-02T01:00:00.000Z,2023-01-02T00:00:00.000Z,3388
140,2023-01-02T02:00:00.000Z,2023-01-02T01:00:00.000Z,3316
141,2023-01-02T03:00:00.000Z,2023-01-02T02:00:00.000Z,3268
142,2023-01-02T04:00:00.000Z,2023-01-02T03:00:00.000Z,3225
143,2023-01-02T05:00:00.000Z,2023-01-02T04:00:00.000Z,2958
144,2023-01-02T06:00:00.000Z,2023-01-02T05:00:00.000Z,2811
145,2023-01-02T07:00:00.000Z,2023-01-02T06:00:00.000Z,2849
146,2023-01-02T08:00:00.000Z,2023-01-02T07:00:00.000Z,2625
147,2023-01-02T09:00:00.000Z,2023-01-02T08:00:00.000Z,2788
148,2023-01-02T10:00:00.000Z,2023-01-02T09:00:00.000Z,2790
149,2023-01-02T11:00:00.000Z,2023-01-02T10:00:00.000Z,2848
150,2023-01-02T12:00:00.000Z,2023-01-02T11:00:00.000Z,2933
151,2023-01-02T13:00:00.000Z,2023-01-02T12:00:00.000Z,3100
152,2023-01-02T14:00:00.000Z,2023-01-02T13:00:00.000Z,3475
153,2023-01-02T15:00:00.000Z,2023-01-02T14:00:00.000Z,3852
154,2023-01-02T16:00:00.000Z,2023-01-02T15:00:00.000Z,4259
155,2023-01-02T17:00:00.000Z,2023-01-02T16:00:00.000Z,4624
156,2023-01-02T18:00:00.000Z,2023-01-02T17:00:00.000Z,5192
157,2023-01-02T19:00:00.000Z,2023-01-02T18:00:00.000Z,4904
158,2023-01-02T20:00:00.000Z,2023-01-02T19:00:00.000Z,5058
159,2023-01-02T21:00:00.000Z,2023-01-02T20:00:00.000Z,5003
160,2023-01-02T22:00:00.000Z,2023-01-02T21:00:00.000Z,4309
161,2023-01-02T23:00:00.000Z,2023-01-02T22:00:00.000Z,4461
162,2023-01-03T00:00:00.000Z,2023-01-02T23:00:00.000Z,4042
163,2023-01-03T01:00:00.000Z,2023-01-03T00:00:00.000Z,3384
164,2023-01-03T02:00:00.000Z,2023-01-03T01:00:00.000Z,2992
165,2023-01-03T03:00:00.000Z,2023-01-03T02:00:00.000Z,3175
166,2023-01-03T04:00:00.000Z,2023-01-03T03:00:00.000Z,3696
167,2023-01-03T05:00:00.000Z,2023-01-03T04:00:00.000Z,2934
168,2023-01-03T05:29:41.000Z,2023-01-03T05:00:00.000Z,1310
